ADM3_FR,mean_population,total_population,mean_light,total_light
Kombori,6.6868395033713695,11280.6982421875,0.09076929007611051,153.12779235839844
Komin-Yanga,12.512924606735641,59261.2109375,-0.012927976009008047,-61.22689437866211
Komki-Ipala,4.203856618780839,20447.55859375,0.3284757513748972,1597.7060546875
Kompienga,9.095567124032883,47024.08203125,2.2484981337645067,11624.7353515625
Komsilga,4.104700586264657,98020.25,5.1243777481155774,122370.140625
Komtoèga,7.440647359006734,22098.72265625,0.25582363758022936,759.7962036132812
Kona,4.8842019582492435,24201.220703125,0.7327059255959889,3630.557861328125
Kongoussi,6.822962042610486,86146.71875,2.9161901161294157,36819.81640625
Koper,2.810597503018431,14258.1611328125,0.13147556177850261,666.9755249023438
Kordié,4.322905249890399,19721.09375,0.10816262532409374,493.4378967285156
Korsimoro,7.070985478940218,52042.453125,1.066007199494735,7845.81298828125
Kossouka,7.817123797199927,21426.736328125,0.7252888002781831,1988.0166015625
Koti,8.601848785431562,33684.83984375,0.8324799425633619,3259.991455078125
Koubri,3.149035906610926,44442.34375,1.3107712082831433,18498.9140625
Koudougou,5.0256461510587345,159493.90625,18.500864554449205,587143.4375
Kougny,5.224272518508363,19052.921875,0.22735202413799013,829.15283203125
Kouka,5.198644432335933,59332.12890625,0.17167722534404298,1959.3521728515625
Koumbia,4.613426155935347,52233.2109375,0.708109979809773,8017.22119140625
Koumbri,8.432950545464317,58845.12890625,0.07481543031726945,522.0620727539062
Koundougou,6.187796583359696,19559.625,0.23190092323928346,733.038818359375
Koupèla,5.516139848565558,72487.59375,4.819849671353017,63337.64453125
Kourinion,5.048623651323743,20881.107421875,0.956794192758704,3957.30078125
Kourouma,4.897460725618355,45144.79296875,1.871052644960946,17247.36328125
Koutougou,8.31064833603896,25596.796875,0.10325064721045556,318.0119934082031
Kpuéré,8.066897752709707,8558.978515625,0.0918911386502452,97.49649810791016
Kyon,7.006314455903271,24627.1953125,0.3156193045430299,1109.40185546875
La-Toden,5.988733072665445,31039.603515625,0.5154932968961027,2671.8017578125
Lalgaye,6.504241003596029,16052.466796875,0.5954179810163848,1469.4915771484375
Lanfièra,4.6866554168933625,21535.181640625,2.817223204570185,12945.140625
Lankoué,8.23562078131344,20284.333984375,0.13201553648291592,325.1542663574219
Laye,4.774792052151864,13063.8310546875,1.157978972496345,3168.23046875
Lèba,4.698499129506086,10035.994140625,0.016357775484577994,34.940208435058594
Legmoin,5.735553452408793,18393.919921875,0.0522731713204879,167.6400604248047
Lèna,3.2640758414871005,22267.525390625,0.19517573902104404,1331.4888916015625
Léo,4.33981194811498,69298.1171875,2.693481200682615,43009.5078125
Liptougou,19.20440993013972,48107.046875,-0.03110205979642278,-77.91065979003906
Lôgbou,7.2353368993994,79509.1171875,0.03398352965003355,373.44500732421875
Loropéni,8.867952068505337,62297.36328125,0.1730349199288256,1215.5703125
Loumana,7.525987293956044,34243.2421875,0.25493797218406594,1159.9677734375
Loumbila,4.121756259436336,32759.71875,2.0606934576701685,16378.3916015625
Madjoari,8.723117035800971,13477.2158203125,0.05910717615417678,91.32058715820312
Madouba,3.1490418698956444,5205.3662109375,0.16155507387137025,267.050537109375
Malba,5.403056913963105,12740.408203125,0.020936215297967523,49.36759567260742
Mané,6.437971853829372,56068.296875,0.12806775071944254,1115.342041015625
Manga,4.539508166975937,37918.51171875,5.430206119807255,45358.51171875
Mangodara,7.812366823269665,76076.828125,0.25877291682712056,2519.9306640625
Mani,20.036653824480595,102227.0078125,1.0785833259322324,5502.93212890625
Mansila,8.471421333824614,57478.59375,-0.0707922399263656,-480.3253479003906
Markoye,4.398216139624066,27669.177734375,0.14820220758077016,932.340087890625
Matiakoali,11.569925093632959,77229.25,-0.05556774582309223,-370.9147033691406
Mégué,7.253007555321873,39659.4453125,0.35073622596813275,1917.82568359375
Midebdo,6.034548221689777,11097.5341796875,0.1752467692190049,322.27880859375
Môgtédo,7.490873711905284,68331.75,1.1125770373136374,10148.927734375
Morlaba,6.985494770091135,33725.96875,0.19603282356420232,946.4464721679688
Moussodougou,6.13543197069568,14485.7548828125,0.2996830825127065,707.5517578125
Nagbingou,8.095192732135438,19485.12890625,0.006391287147132103,15.383828163146973
Nagréongo,6.226722007617814,25236.904296875,1.7547558328707131,7112.025390625
Nako,4.373207076848249,28097.85546875,0.0058097869041828796,37.327880859375
Namissiguima,5.953872114076504,9299.9482421875,0.038250987874713656,59.748043060302734
Namissiguima,5.285809420766387,37175.09765625,0.6791258342368122,4776.2919921875
Namouno,10.575385974702382,22208.310546875,0.025945830572219122,54.486244201660156
Nandiala,5.254283628540152,28199.740234375,0.18019437496724777,967.1032104492188
Nanoro,6.692423257483057,35550.15234375,0.4711094591991011,2502.533447265625
Nasséré,6.334198767397584,12060.314453125,0.0009598675019600812,1.8275877237319946
Nassoumbou,6.722316954342984,18109.921875,0.10673530878804752,287.544921875
Ndôrôla,4.4647826444095395,34820.83984375,0.5715372413530581,4457.4189453125
Nébiélianayou,4.400378916893733,8074.6953125,0.22669293562138113,415.9815368652344
Niabouri,8.396241907452557,31855.341796875,0.09453175353199542,358.6534729003906
Niangoloko,5.7192189602960966,84987.59375,3.524210601026245,52369.76953125
Niankôrôdougou,6.459203925111487,42004.203125,1.0940429837671075,7114.5615234375
Niaogho,5.971335347034026,19830.8046875,0.3637380304195837,1207.9739990234375
Niégo,6.7634455983231705,10537.4482421875,0.03740028606605775,58.26964569091797
Niou,8.619185379333137,29339.70703125,0.47470440623622945,1615.893798828125
Nobéré,3.9154228012734955,35203.56640625,0.11895310023565232,1069.50732421875
Nouna,5.149532755672987,82830.234375,2.6414254351880633,42487.328125
Orodara,6.409558449904352,40207.16015625,8.743151452654232,54845.7890625
Oronkua,4.795381780660377,25415.5234375,0.34059243256191035,1805.139892578125
Ouagadougou,9.677543854366995,2571410.5,61.950581275003856,16460827.0
Ouahigouya,7.018786325334951,150349.421875,17.301315006302225,370611.46875
Ouargaye,8.894733807535443,45798.984375,0.07466313667171416,384.44049072265625
Ouarkoye,5.797582680302829,43650.0,0.16659317695535597,1254.280029296875
Ouéléni,4.121427820297111,12553.869140625,0.16738088085552774,509.8421630859375
Ouéssa,2.681583740949398,8240.5068359375,1.4977599124430523,4602.6162109375
Ouindigui,8.050484305130619,34206.5078125,-0.007287401848889766,-30.964170455932617
Oula,5.738352768911105,47639.8046875,0.07538046178631655,625.80859375
Ouô,11.709579246467088,62974.1171875,0.2333066691337974,1254.7232666015625
Ourgou-Manéga,8.680834542129162,17205.4140625,0.04012253931624858,79.52287292480469
Ouri,3.7581282761180463,31008.31640625,0.1530984229657769,1263.215087890625
Oursi,6.519824506821534,22102.205078125,0.053355754300908,180.87600708007812
Pâ,6.691956426056338,28032.60546875,4.010173128282406,16798.615234375
Pabré,2.3382087024702534,22598.787109375,1.2193411916386445,11784.9326171875
Padéma,5.446822953523049,53879.97265625,0.19485664907564193,1927.52197265625
Pama,7.6309758992083525,66511.5859375,1.0508870181275816,9159.53125
Partiaga,8.634292612276644,54119.74609375,-0.04149389114818074,-260.0837097167969
Pella,7.174727304354945,21911.6171875,0.10077382945202501,307.7632751464844
Péni,6.453013883168588,58754.69140625,0.4521648476112026,4116.9609375
Pensa,7.300008433125316,43281.75,0.012286316988580362,72.84557342529297
Périgban,4.3120423858574615,9680.53515625,0.101849338047223,228.65176391601562
Pibaoré,8.06075816292876,36660.328125,0.010227363573005563,46.5140495300293
Piéla,9.522293122412009,73588.28125,0.4332510432841615,3348.1640625
Pilimpikou,8.316578247309197,16999.0859375,0.04873460519570427,99.61353302001953
Pissila,9.339099228445797,113628.8203125,0.03948884814906612,480.4608154296875
Po,3.360048307113543,63861.078125,3.3989034301667895,64599.55859375
Poa,5.797332991290704,31867.939453125,0.4202638139979762,2310.190185546875
Pobé-Mengao,9.215375947670118,31147.970703125,0.07291525665824936,246.4535675048828
Pompoï,5.762768431327515,12545.546875,0.2311827099317797,503.2847595214844
Pouni,4.691738553889339,46382.52734375,0.6358208676569138,6285.72509765625
Poura,4.392064260386531,13663.7119140625,4.32423350359611,13452.6904296875
Pouytenga,7.95182596318827,101958.3125,13.854375048744346,177640.796875
Rambo,11.069693709767702,39552.015625,0.2576934020124895,920.738525390625
Ramongo,5.929624628957784,22473.27734375,0.5779999665031332,2190.619873046875
Réo,4.635034309576453,67082.8515625,4.280394959579907,61950.15625
Rollo,8.394131562881563,34373.96875,0.04491077837635455,183.90963745117188
Roukô,6.271930653561828,15165.5283203125,0.4246557092153898,1026.8175048828125
Saaba,3.0375479200024635,98647.40625,9.127537450732849,296425.90625
Sabou,5.968359245181123,53876.37890625,0.5254270283766755,4743.02978515625
Sabsé,5.4748054734657945,27209.783203125,8.704028860663984,43259.0234375
Safané,4.97930690817637,58158.3046875,0.22385968770066353,2614.68115234375
Samba,5.2256398709785525,38983.2734375,0.04670628606474112,348.42889404296875
Sami,2.6274527115490627,9532.3984375,0.27005097411301854,979.7449340820312
Samôgôgouan,5.461052414466595,50678.56640625,0.20510230228818696,1903.349365234375
Samôgôyiri,3.1008401757259207,5472.98291015625,0.21334831951022487,376.5597839355469
Sampelga,15.908730004491431,28778.892578125,0.11017778606425338,199.31161499023438
Sanaba,8.555763334810875,36190.87890625,0.13651694439827128,577.4666748046875
Sangha,6.912934734035996,56077.7265625,0.2072575285119653,1681.2730712890625
Saolgo,6.1182715190384,18960.5234375,0.022460541135843972,69.60521697998047
Saponé,4.069312469137496,37083.64453125,0.4973361265328377,4532.22412109375
Sapouy,10.324656780733326,91796.5234375,0.0837230448539956,744.381591796875
Satiri,3.5207135456691185,32070.1796875,0.1406964008809968,1281.603515625
Sebba,9.28542867486809,40475.18359375,-0.018468683097963623,-80.50498962402344
Senguènèga,6.625537953386228,70144.5703125,0.6732056321284359,7127.22802734375
Seytenga,8.113274446168083,37264.26953125,0.0675012682767935,310.0333251953125
Siby,4.796673935529059,18404.837890625,0.3094215502427026,1187.25048828125
Sidéradougou,6.970774942925147,143507.34375,0.7559714659888522,15563.1845703125
Siglé,5.740543585682987,30132.11328125,0.15945822362741713,836.9962158203125
Silly,5.172638028425656,33710.08203125,0.07551600228099346,492.1377868652344
Sindo,6.493766140715546,25773.7578125,0.23503848244303507,932.8677368164062
Sindou,6.029537762262546,21266.1796875,2.3799107775730084,8393.9453125
Soa,9.01268117405636,17430.525390625,0.0760225219095382,147.02755737304688
Solenzo,6.3641538963935265,149818.546875,1.4045282698271102,33064.0
Solhan,11.128462322738992,28054.853515625,-0.027836180357458287,-70.17501068115234
Sollé,5.976741036249015,15168.96875,0.06464510437444593,164.06927490234375
Sônô,4.250847003584788,8522.9482421875,0.14385252688591021,288.42431640625
Soubakaniédougou,6.340001022913257,38737.40625,0.23342303137147094,1426.2147216796875
Soudougui,8.208529768318966,53322.609375,0.03187529089415602,207.0618896484375
Sourgou,5.103276136313514,14462.6845703125,0.2698345951572976,764.7112426757812
Sourgoubila,6.157312532041892,42035.97265625,0.32404223350300276,2212.236328125
Tambaga,10.94305852998222,67704.703125,-0.03301193264433616,-204.2448272705078
Tangaye,6.947677326888489,38629.0859375,0.0460825638805362,256.21905517578125
Tanguen-Dassouri,3.640723294683607,59030.6875,2.4715085150178857,40073.0390625
Tankougounadié,11.193802125200964,20887.634765625,-0.013207568488575893,-24.645322799682617
Tansarga,9.15461550594269,56227.6484375,0.03238476002033896,198.90719604492188
Tansila,3.4830636381631037,35192.875,0.1956592357451257,1976.94091796875
Tchériba,4.001783218279325,43839.53515625,0.14208741460092422,1556.567626953125
Ténado,4.478427677948795,44954.45703125,0.9038325262440227,9072.6708984375
Tenkodogo,6.121849851202951,146055.09375,5.091744317943666,121478.8359375
